Tree,Type,Girth,Age,Disease,Height,Value
1,Oak,2.1,80,0,7,120
2,Elm,1.8,65,0,6,90
3,Oak,3.5,115,0,8,200
4,Birch,0.8,20,0,3,0
5,Elm,1.9,65,0,6,95
6,Birch,0.6,18,0,3,0
7,Oak,4.6,150,0,8,300
8,Birch,0.7,19,1,3,0
9,Elm,1.7,60,1,5,0
10,Birch,0.8,21,0,2,0
11,Elm,1.7,70,0,6,80
12,Elm,1.7,72,0,6,80
13,Oak,2.1,90,0,7,120
14,Yew,2.3,130,0,7,300
15,Birch,0.7,20,1,3,0
16,Oak,4.5,145,0,7,240
17,Elm,2.1,75,0,6,90
18,Birch,0.7,18,0,3,0
19,Oak,3.2,108,0,8,180
20,Elm,1.7,67,1,6,0
21,Elm,1.6,65,1,6,20
22,Birch,0.7,18,1,3,0
23,Birch,0.6,15,0,2,0
24,Oak,2.9,102,0,7,115
25,Birch,0.6,21,0,3,0
26,Oak,3.1,110,0,8,175
27,Birch,0.9,23,0,3,0
28,Elm,1.8,74,0,6,90
29,Oak,3.2,110,0,8,170
30,Oak,3.8,120,0,9,195
31,Elm,2.0,75,1,6,0
32,Elm,2.3,75,1,7,30
33,Elm,2.2,75,1,7,0
34,Elm,2.6,80,1,7,90
35,Birch,0.6,20,0,3,0
36,Elm,2.5,78,0,7,95
37,Elm,2.8,85,0,7,100
38,Oak,3.7,116,0,8,80
39,Birch,0.7,23,1,3,0
40,Elm,2.8,80,0,7,95
41,Elm,3.3,95,0,7,110
42,Birch,0.6,21,0,3,0
43,Birch,0.6,20,0,3,0
44,Birch,0.5,17,0,2,0
45,Birch,0.6,22,0,3,0
46,Birch,0.6,21,1,3,0
47,Birch,0.6,20,0,3,0
48,Birch,0.6,21,1,3,0
49,Birch,0.5,18,0,3,0
50,Elm,3.5,98,0,7,120
51,Oak,4.1,120,0,8,180
52,Oak,3.9,115,0,7,165
53,Oak,3.1,85,0,7,135
54,Oak,4.1,118,0,8,170
55,Elm,2.8,80,0,7,95
56,Oak,4.0,118,0,8,170
57,Yew,4.7,120,0,8,280
58,Elm,3.3,90,0,6,100
59,Birch,0.6,21,0,3,0
60,Birch,0.6,20,0,3,0
61,Elm,3.2,85,0,6,80
62,Elm,3.2,88,0,6,80
63,Oak,3.5,108,0,8,150
64,Oak,3.4,105,0,8,145
65,Elm,2.1,45,0,6,60
66,Beech,2.5,55,0,5,70
67,Oak,3.0,90,0,7,130
68,Birch,0.7,23,0,3,0
69,Birch,0.6,22,0,3,0
70,Birch,0.6,22,1,3,0
71,Birch,0.6,21,0,3,0
72,Birch,0.6,20,1,3,0
73,Birch,0.7,22,0,3,0
74,Birch,0.6,21,0,3,0
75,Birch,0.6,21,0,3,0
76,Elm,2.9,81,0,7,90
77,Oak,4.3,125,0,8,190
78,Oak,4.4,127,0,8,195
79,Beech,2.4,55,0,5,70
80,Beech,2.6,55,0,5,75
81,Beech,2.4,55,0,5,70
82,Oak,3.5,98,0,7,150
83,Yew,5.0,150,0,9,300
84,Elm,2.8,78,0,7,85
85,Oak,4.3,125,0,8,185
86,Beech,2.5,55,0,6,80
87,Beech,2.5,55,0,5,75
